,target,alt_tar_lst,phon,sem
2205,massages,massage,1.0,0.6960226448389368
2206,massages,message,2.0,0.7735857316406882
2207,massages,cartridge,7.0,0.7685176502707659
2208,diploma,diploma,0.0,0.0
2209,diploma,diplomat,1.0,0.6107190390587591
2210,diploma,infection,9.0,0.6930294615804198
2211,diploma,diplomas,1.0,0.4020216730410122
2212,diplomat,diplomat,0.0,0.0
2213,diplomat,diploma,1.0,0.6107190390587591
2214,diplomat,infection,9.0,0.714983638755925
2215,diplomat,diplomas,1.0,0.5600343687722449
2216,infection,infection,0.0,0.0
2217,infection,diploma,9.0,0.6930294615804198
2218,infection,diplomat,9.0,0.714983638755925
2219,infection,diplomas,9.0,0.8217685559506064
2220,diplomas,diplomas,0.0,0.0
2221,diplomas,diploma,1.0,0.4020216730410122
2222,diplomas,diplomat,1.0,0.5600343687722449
2223,diplomas,infection,9.0,0.8217685559506064
2224,diplomat,diplomat,0.0,0.0
2225,diplomat,diploma,1.0,0.6107190390587591
2226,diplomat,constellation,11.0,0.7219680882573745
2227,diplomat,diplomats,1.0,0.22586465154859015
2228,diploma,diploma,0.0,0.0
2229,diploma,diplomat,1.0,0.6107190390587591
2230,diploma,constellation,12.0,0.6834242743179949
2231,diploma,diplomats,2.0,0.635468054928233
2232,constellation,constellation,0.0,0.0
2233,constellation,diplomat,11.0,0.7219680882573745
2234,constellation,diploma,12.0,0.6834242743179949
2235,constellation,diplomats,11.0,0.7417641422481793
2236,diplomats,diplomats,0.0,0.0
2237,diplomats,diplomat,1.0,0.22586465154859015
2238,diplomats,diploma,2.0,0.635468054928233
2239,diplomats,constellation,11.0,0.7417641422481793
2240,leisure,leisure,0.0,1.1102230246251565e-16
2241,leisure,lesion,4.0,0.7540667588144825
2242,leisure,phonology,9.0,0.6897088213698488
2243,leisure,leisures,1.0,0.7152238151470278
2244,lesion,lesion,0.0,0.0
2245,lesion,leisure,4.0,0.7540667588144825
2246,lesion,phonology,8.0,0.7149023274147733
2247,lesion,leisures,5.0,0.6342450303775549
2248,phonology,phonology,0.0,5.551115123125783e-17
2249,phonology,leisure,9.0,0.6897088213698488
2250,phonology,lesion,8.0,0.7149023274147733
2251,phonology,leisures,9.0,0.7996800662355743
2252,leisures,leisures,0.0,3.700743415417188e-17
2253,leisures,leisure,1.0,0.7152238151470278
2254,leisures,lesion,5.0,0.6342450303775549
2255,leisures,phonology,9.0,0.7996800662355743
2256,lesion,lesion,0.0,0.0
2257,lesion,leisure,4.0,0.7540667588144825
2258,lesion,rhino,4.0,0.7013635432873431
2259,lesion,lesions,1.0,0.4010988655801092
2260,leisure,leisure,0.0,1.1102230246251565e-16
2261,leisure,lesion,4.0,0.7540667588144825
2262,leisure,rhino,6.0,0.7831894640300625
2263,leisure,lesions,4.0,0.7184142839360401
2264,rhino,rhino,0.0,5.551115123125783e-17
2265,rhino,lesion,4.0,0.7013635432873431
2266,rhino,leisure,6.0,0.7831894640300625
2267,rhino,lesions,5.0,0.6871056357142833
2268,lesions,lesions,0.0,0.0
2269,lesions,lesion,1.0,0.4010988655801092
2270,lesions,leisure,4.0,0.7184142839360401
2271,lesions,rhino,5.0,0.6871056357142833
2272,duration,duration,0.0,0.0
2273,duration,adoration,2.0,0.8765558660205062
2274,duration,Frankenstein,9.0,0.8155237004323544
2275,duration,durations,1.0,0.7670959307774843
2276,adoration,adoration,0.0,2.220446049250313e-16
2277,adoration,duration,2.0,0.8765558660205062
2278,adoration,Frankenstein,9.0,0.8566138387178389
2279,adoration,durations,3.0,0.6753400950222692
2280,Frankenstein,Frankenstein,0.0,0.0
2281,Frankenstein,duration,9.0,0.8155237004323544
2282,Frankenstein,adoration,9.0,0.8566138387178389
2283,Frankenstein,durations,9.0,0.860760046667857
2284,durations,durations,0.0,0.0
2285,durations,duration,1.0,0.7670959307774843
2286,durations,adoration,3.0,0.6753400950222692
2287,durations,Frankenstein,9.0,0.860760046667857
2288,adoration,adoration,0.0,2.220446049250313e-16
2289,adoration,duration,2.0,0.8765558660205062
2290,adoration,synthesizer,10.0,0.8085292983837571
2291,adoration,adorations,1.0,0.28622246102470905
2292,duration,duration,0.0,0.0
2293,duration,adoration,2.0,0.8765558660205062
2294,duration,synthesizer,10.0,0.7909753281572108
2295,duration,adorations,3.0,0.8765558660205062
2296,synthesizer,synthesizer,0.0,1.6653345369377348e-16
2297,synthesizer,adoration,10.0,0.8085292983837571
2298,synthesizer,duration,10.0,0.7909753281572108
2299,synthesizer,adorations,10.0,0.8248182796253853
2300,adorations,adorations,0.0,1.1102230246251565e-16
2301,adorations,adoration,1.0,0.28622246102470905
2302,adorations,duration,3.0,0.8765558660205062
2303,adorations,synthesizer,10.0,0.8248182796253853
2304,dynasty,dynasty,0.0,1.1102230246251565e-16
2305,dynasty,dynamite,3.0,0.7285653447028364
2306,dynasty,inebriation,10.0,0.8980254352901429
2307,dynasty,dynasties,3.0,0.4269513803125463
2308,dynamite,dynamite,0.0,5.551115123125783e-17
2309,dynamite,dynasty,3.0,0.7285653447028364
2310,dynamite,inebriation,9.0,0.8241577613785199
2311,dynamite,dynasties,3.0,0.6584499923973972
2312,inebriation,inebriation,0.0,5.551115123125783e-17
2313,inebriation,dynasty,10.0,0.8980254352901429
2314,inebriation,dynamite,9.0,0.8241577613785199
2315,inebriation,dynasties,9.0,0.8138631096710364
2316,dynasties,dynasties,0.0,7.401486830834377e-17
2317,dynasties,dynasty,3.0,0.4269513803125463
2318,dynasties,dynamite,3.0,0.6584499923973972
2319,dynasties,inebriation,9.0,0.8138631096710364
2320,dynamite,dynamite,0.0,5.551115123125783e-17
2321,dynamite,dynasty,3.0,0.7285653447028364
2322,dynamite,infamy,6.0,0.818309837089271
2323,dynamite,dynamites,1.0,0.12010240636947078
2324,dynasty,dynasty,0.0,1.1102230246251565e-16
2325,dynasty,dynamite,3.0,0.7285653447028364
2326,dynasty,infamy,5.0,0.8433929204116111
2327,dynasty,dynamites,4.0,0.7285653447028364
2328,infamy,infamy,0.0,0.0
2329,infamy,dynamite,6.0,0.818309837089271
2330,infamy,dynasty,5.0,0.8433929204116111
2331,infamy,dynamites,7.0,0.7998726545098924
2332,dynamites,dynamites,0.0,0.0
2333,dynamites,dynamite,1.0,0.12010240636947078
2334,dynamites,dynasty,4.0,0.7285653447028364
2335,dynamites,infamy,7.0,0.7998726545098924
2336,apostrophe,apostrophe,0.0,0.0
2337,apostrophe,apocalypse,5.0,0.6296040244188799
2338,apostrophe,jugular,10.0,0.7667119251780405
2339,apostrophe,apostrophes,1.0,0.28928370229628375
2340,apocalypse,apocalypse,0.0,0.0
2341,apocalypse,apostrophe,5.0,0.6296040244188799
2342,apocalypse,jugular,9.0,0.7502047770110212
2343,apocalypse,apostrophes,6.0,0.6296040244188799
2344,jugular,jugular,0.0,1.1102230246251565e-16
2345,jugular,apostrophe,10.0,0.7667119251780405
2346,jugular,apocalypse,9.0,0.7502047770110212
2347,jugular,apostrophes,11.0,0.7807074801582858
2348,apostrophes,apostrophes,0.0,7.401486830834377e-17
2349,apostrophes,apostrophe,1.0,0.28928370229628375
2350,apostrophes,apocalypse,6.0,0.6296040244188799
2351,apostrophes,jugular,11.0,0.7807074801582858
2352,apocalypse,apocalypse,0.0,0.0
2353,apocalypse,apostrophe,5.0,0.6296040244188799
2354,apocalypse,pharaoh,8.0,0.7645155856538037
2355,apocalypse,apocalypses,1.0,0.691865597789474
2356,apostrophe,apostrophe,0.0,0.0
2357,apostrophe,apocalypse,5.0,0.6296040244188799
2358,apostrophe,pharaoh,7.0,0.7137679937042118
2359,apostrophe,apocalypses,6.0,0.6354132363837292
2360,pharaoh,pharaoh,0.0,0.0
2361,pharaoh,apocalypse,8.0,0.7645155856538037
2362,pharaoh,apostrophe,7.0,0.7137679937042118
2363,pharaoh,apocalypses,9.0,0.659088236989784
2364,apocalypses,apocalypses,0.0,2.7755575615628914e-17
2365,apocalypses,apocalypse,1.0,0.691865597789474
2366,apocalypses,apostrophe,6.0,0.6354132363837292
2367,apocalypses,pharaoh,9.0,0.659088236989784
2368,musket,musket,0.0,0.0
2369,musket,muskrat,2.0,0.32054396435790944
2370,musket,distraction,9.0,0.7650204456491413
2371,musket,muskets,1.0,0.32054396435790944
2372,muskrat,muskrat,0.0,0.0
2373,muskrat,musket,2.0,0.32054396435790944
2374,muskrat,distraction,7.0,0.7650204456491413
2375,muskrat,muskets,3.0,0.2503841209488664
2376,distraction,distraction,0.0,1.1102230246251565e-16
2377,distraction,musket,9.0,0.7650204456491413
2378,distraction,muskrat,7.0,0.7650204456491413
2379,distraction,muskets,9.0,0.7650204456491413
2380,muskets,muskets,0.0,0.0
2381,muskets,musket,1.0,0.32054396435790944
2382,muskets,muskrat,3.0,0.2503841209488664
